"","Year","Month","Sentiment","Count","Avg_Per"
"1",2020,1,"negative",307655,0.820998702275783
"2",2020,1,"neutral",46072,0.125452980244649
"3",2020,1,"positive",19456,0.053548317479568
"4",2020,2,"negative",3001983,0.80427535464879
"5",2020,2,"neutral",470658,0.130469952709913
"6",2020,2,"positive",229818,0.065254692641297
"7",2020,3,"negative",7058953,0.837357108977475
"8",2020,3,"neutral",830619,0.102847745896121
"9",2020,3,"positive",491024,0.059795145126404
"10",2020,4,"negative",10130812,0.844321688619141
"11",2020,4,"neutral",1146402,0.09661021329309
"12",2020,4,"positive",693806,0.059068098087769
"13",2020,5,"negative",10203238,0.835887804676284
"14",2020,5,"neutral",1249083,0.102203490199281
"15",2020,5,"positive",739910,0.0619087051244348
"16",2020,6,"negative",9392329,0.83529993349724
"17",2020,6,"neutral",1226187,0.107780513644004
"18",2020,6,"positive",623008,0.0569032834635763
"19",2021,6,"negative",5580709,0.845021878943481
"20",2021,6,"neutral",699154,0.106665313259226
"21",2021,6,"positive",312841,0.0483128077972931
